Designator,Mid X,Mid Y,Layer,Rotation
C1,40.56, 8.13,Top,0.0
C2,40.16, 9.68,Top,0.0
C8,35.81,-9.14,Top,270.0
C9,35.03, 7.72,Top,270.0
C12,10.16,-9.14,Top,270.0
C13,15.88,-0.25,Top,0.0
C14,11.81,-2.29,Top,180.0
C15,11.81,-0.25,Top,180.0
C16,21.08,-8.13,Top,0.0
C17,15.27,-4.34,Top,180.0
C18,21.08,-10.16,Top,90.0
C19,21.36,-0.79,Top,90.0
C20,23.44,-0.79,Top,90.0
D1,18.29, 2.67,Top,180.0
D2,15.37, 2.67,Top,0.0
D3,22.15,-5.92,Top,0.0
D4,12.45, 2.67,Top,0.0
FLASH,24.89,10.67,Top,0.0
IC1,15.32,-7.82,Top,270.0
IC2,37.67, 0.00,Top,270.0
J1,16.76, 4.80,Top,180.0
J2,26.92,-6.60,Top,270.0
J3,26.92, 1.40,Top,270.0
L1,18.50,-3.34,Top,90.0
LED,38.35,-9.14,Top,180.0
R4,36.07, 7.72,Top,270.0
R5,28.70, 6.73,Top,270.0
R6,27.69, 6.73,Top,270.0
R7,21.49, 3.10,Top,180.0
R8,10.79, 5.36,Top,270.0
R12,30.73, 6.73,Top,270.0
R17,29.72, 6.73,Top,270.0
R22,12.29,-10.62,Top,0.0
R27,20.07,-10.16,Top,270.0
R28,22.10,-10.16,Top,90.0
RESET, 8.64,10.67,Top,0.0
C3,18.69, 1.42,Bottom,90.0
C4,24.89,-0.38,Bottom,90.0
C5,25.91,-6.15,Bottom,270.0
IC4,21.84,-0.38,Bottom,0.0
Q3,14.99,-3.43,Bottom,90.0
Q5,14.99, 0.00,Bottom,180.0
R1,11.99,-3.81,Bottom,0.0
R9,15.37,-8.08,Bottom,180.0
R10,15.37,-6.38,Bottom,180.0
R18,11.99,-2.72,Bottom,0.0
U1,21.34,-6.22,Bottom,0.0
P5, 6.99, 0.0,Top,270.0
